#separator:Pipe
#columns:Key|Word|Masculine Singular|Feminine Singular|Masculine Plural|Feminine Plural|Adverb|Infinitive|Past Participle|Present Participle|Basic meanings of word|Example sentences|Wiktionary
#notetype:French to English Noun
#deck:French Courses::B2.2::Vocab
noun-misère|misère||la misère||les misères|||||Noun: misery, poverty||
noun-moeurs|moeurs||||les moeurs|||||Noun: customs||
noun-moine|moine|le moine||les moines||||||Noun: monk||
noun-niche|niche||la niche||les niches|||||Noun: niche||
noun-nippe|nippe||la nippe||les nippes|||||Noun: cheap worn out clothing||
noun-noeud papillon|noeud papillon|le noeud papillon||les noeuds papillon||||||Noun: bowtie||
noun-noeud|noeud|le noeud||les noeuds||||||Noun: knot||
noun-occasion|occasion||l'occasion||les occasions|||||Noun: occasion, cause, secondhand item||
noun-ourlet|ourlet|l'ourlet||les ourlets||||||Noun: hem||
noun-pelle|pelle||la pelle||les pelles|||||Noun: shovel||
noun-poireau|poireau|le poireau||les poireaux||||||Noun: leek||
noun-problématique|problématique||la problématique||les problématiques|||||Noun: question/ issue||
noun-prévision|prévision||la prévision||les prévisions|||||Noun: forecast||
noun-reflet|reflet|le reflet||les reflets||||||Noun: reflection||
noun-refus|refus|le refus||||||||Noun: refusal||
noun-sape|sape||la sape||les sapes|||||Noun: fashion/ style, (plural) outfit||
noun-sauterelle|sauterelle||la sauterelle||les sauterelles|||||Noun: grasshopper||
noun-souffrance|souffrance||la souffrance||les souffrances|||||Noun: sufferance/ pain||
noun-spontanéité|spontanéité||la spontanéité||les spontanéités|||||Noun: spontaneity||
noun-tendance|tendance||la tendance||les tendances|||||Noun: tendency||
noun-élégance|élégance||l'élégance|||||||Noun: elegance||
verb-accorder|accorder||||||accorder|accordé|accordant|Verb: (reflexive) to agree, to link to/ be related to||
verb-arranger|arranger||||||arranger|arrangé|arrangeant|Verb: to arrange, to suit/ be convenient||
verb-bousculer|bousculer||||||bousculer|bousculé|bousculant|Verb: to shove||
verb-brancher|brancher||||||brancher|branché|branchant|Verb: to plug in (an appliance)||
verb-dresser|dresser||||||dresser|dressé|dressant|Verb: to raise, erect, build, draw up, lay out||
verb-défiler|défiler||||||défiler|défilé|défilant|Verb: to parade/ march, to unfold/ happen||
verb-démoder|démoder||||||démoder|démodé|démodant|Verb: (reflexive) to go out of fashion||
verb-emménager|emménager||||||emménager|emménagé|emménageant|Verb: to move in||
verb-empiler|empiler||||||empiler|empilé|empilant|Verb: to pile up||
verb-entasser|entasser||||||entasser|entassé|entassant|Verb: to pile objects||
verb-essuyer|essuyer||||||essuyer|essuyé|essuyant|Verb: to wipe||
verb-incommoder|incommoder||||||incommoder|incommodé|incommodant|Verb: to both/ disconcert, to inconvenience||
verb-mincir|mincir||||||mincir|minci|mincissant|Verb: to make thinner||
verb-nuire|nuire||||||nuire|nui|nuisant|Verb: to harm||
verb-priver|priver||||||priver|privé|privant|Verb: to deprive||
verb-propager|propager||||||propager|propagé|propageant|Verb: to propagate/ spread||
verb-ramer|ramer||||||ramer|ramé|ramant|Verb: to row||
verb-revendiquer|revendiquer||||||revendiquer|revendiqué|revendiquant|Verb: to lay claim to, (law) to demand, to take on responsibility||
verb-régner|régner||||||régner|régné|régnant|Verb: to reign||
verb-résider|résider||||||résider|résidé|résidant|Verb: to reside/ live||
verb-surplomber|surplomber||||||surplomber|surplombé|surplombant|Verb: to overhang, overlook, hang over||
verb-éblouir|éblouir||||||éblouir|ébloui|éblouissant|Verb: to dazzle||
