#separator:Pipe
#columns:Key|Word|Masculine Singular|Feminine Singular|Masculine Plural|Feminine Plural|Adverb|Infinitive|Past Participle|Present Participle|Basic meanings of word|Example sentences|Wiktionary
#notetype:French to English Noun
#deck:French Courses::B1.5::Vocab
noun-mél|mél|le mél||les méls||||||Noun: email||
noun-mémé|mémé||la mémé||les mémés|||||Noun: (child talk) grandma||
noun-môme|môme|le môme|la môme|les mômes||||||Noun: (colloquial) kid||
noun-noce|noce||||les noces|||||Noun: wedding||
noun-nourrisson|nourrisson|le nourrisson||les nourrissons||||||Noun: infant||
noun-nouveau-né|nouveau-né|le nouveau-né|la nouvelle-née|les nouveau-nés|les nouvelles-nées|||||Noun: newborn (also adj)||
noun-obsèques|obsèques||||les obsèques|||||Noun: funeral||
noun-originalité|originalité|l'originalité||les originalités||||||Noun: originality||
noun-palier|palier|le palier||les paliers||||||Noun: level, flat area, landing (stairs)||
noun-paradis|paradis|le paradis||||||||Noun: paradise, heaven||
noun-parrain|parrain|le parrain|la marraine|les parrains|les marraines|||||Noun: godparent||
noun-pauvreté|pauvreté||la pauvreté||les pauvretés|||||Noun: poverty||
noun-peluche|peluche||la peluche||les peluches|||||Noun: plush (toy)||
noun-perte|perte||la perte||les pertes|||||Noun: loss||
noun-plaisanterie|plaisanterie||la plaisanterie||les plaisanteries|||||Noun: joke, fun||
noun-puberté|puberté||la puberté||les pubertés|||||Noun: puberty||
noun-pépé|pépé|le pépé||les pépés||||||Noun: (child talk) grandpa||
noun-péremption|péremption||la péremption||les péremptions|||||Noun: expiry||
noun-quiz|quiz|le quiz||||||||Noun: quiz||
noun-rabais|rabais|le rabais||||||||Noun: discount||
noun-rallye|rallye|le rallye||les rallyes||||||Noun: Multi step race (like amazing race), offroad rally||
noun-rassemblement|rassemblement|le rassemblement||les rassemblements||||||Noun: assembly/ gathering||
noun-relation|relation||la relation||les relations|||||Noun: relation, relationship||
noun-retrouvaille|retrouvaille||la retrouvaille||les retrouvailles|||||Noun: (mostly plural) reunion||
noun-rituel|rituel|le rituel||les rituels||||||Noun: ritual||
noun-rupture|rupture||la rupture||les ruptures|||||Noun: breakup||
noun-réduction|réduction||la réduction||les réductions|||||Noun: reduction/ discount||
noun-réunion|réunion||la réunion||les réunions|||||Noun: meeting||
noun-secte|secte||la secte||les sectes|||||Noun: sect/ cult||
noun-signature|signature||la signature||les signatures|||||Noun: signature||
noun-soupir|soupir|le soupir||les soupirs||||||Noun: sigh||
noun-sport mécanique|sport mécanique|le sport mécanique||les sports mécaniques||||||Noun: motorsport||
noun-séminaire|séminaire|le séminaire||les séminaires||||||Noun: seminar||
noun-tarif|tarif|le tarif||les tarifs||||||Noun: price (usually of a service)||
noun-tenue|tenue||la tenue||les tenues|||||Noun: outfit||
noun-tonton|tonton|le tonton|la tata|les tontons|les tatas|||||Noun: (child talk) uncle/ aunt||
noun-traine|traine||la traine||les traines|||||Noun: train of a dress||
noun-trésor|trésor|le trésor||les trésors||||||Noun: treasure||
noun-veille|veille||la veille||les veilles|||||Noun: the day before/ eve||
noun-vieillard|vieillard|le vieillard|la vieillarde|les vieillards||||||Noun: old person||
noun-végétal|végétal|le végétal||les végétaux||||||Noun: (also adj) plant||
noun-énigme|énigme||l'énigme||les énigmes|||||Noun: enigma/ puzzle/ anything difficult to understand||
noun-éolienne|éolienne||l'éolienne||les éoliennes|||||Noun: wind turbine||
noun-époux|époux|l'époux|l'épouse|||||||Noun: spouse||
verb-aboutir|aboutir||||||aboutir|abouti|aboutissant|Verb: to touch by one end, to reach the end||
verb-adapter|adapter||||||adapter|adapté|adaptant|Verb: to adapt||
verb-agrandir|agrandir||||||agrandir|agrandi|agrandissant|Verb: to get bigger||
verb-appauvrir|appauvrir||||||appauvrir|appauvri|appauvrissant|Verb: to impoverish||
verb-avouer|avouer||||||avouer|avoué|avouant|Verb: to confess||
verb-chamailler|chamailler||||||chamailler|chamaillé|chamaillant|Verb: (reflexive) to bicker||
verb-chiner|chiner||||||chiner|chiné|chinant|Verb: to look around for||
verb-concerner|concerner||||||concerner|concerné|concernant|Verb: to be concerned with/ be associated with||
verb-confier|confier||||||confier|confié|confiant|Verb: to confide||
verb-conter|conter||||||conter|conté|contant|Verb: to recount (tell a story)||
verb-convier|convier||||||convier|convié|conviant|Verb: to invite||
verb-divertir|divertir||||||divertir|diverti|divertissant|Verb: to amuse/ entertain, to distract||
verb-divorcer|divorcer||||||divorcer|divorcé|divorçant|Verb: to divorce, (reflexive) get divorced||
verb-draguer|draguer||||||draguer|dragué|draguant|Verb: to flirt/ hit on somebody||
verb-déclencher|déclencher||||||déclencher|déclenché|déclenchant|Verb: to trigger/ set off||
verb-décontracter|décontracter||||||décontracter|décontracté|décontractant|Verb: to relax||
verb-définir|définir||||||définir|défini|définissant|Verb: to define||
verb-déranger|déranger||||||déranger|dérangé|dérangeant|Verb: to bother||
verb-désigner|désigner||||||désigner|désigné|désignant|Verb: to designate||
verb-détailler|détailler||||||détailler|détaillé|détaillant|Verb: to detail||
verb-effrayer|effrayer||||||effrayer|effrayé|effrayant|Verb: to scare||
verb-englober|englober||||||englober|englobé|englobant|Verb: to encompass||
verb-ennuyer|ennuyer||||||ennuyer|ennuyé|ennuyant|Verb: to bore, (reflexive) to be bored||
verb-enrichir|enrichir||||||enrichir|enrichi|enrichissant|Verb: to enrich||
verb-exagérer|exagérer||||||exagérer|exagéré|exagérant|Verb: to exaggerate||
verb-fâcher|fâcher||||||fâcher|fâché|fâchant|Verb: to annoy, (reflexive) to get angry/ fall out||
verb-habituer|habituer||||||habituer|habitué|habituant|Verb: to get someone in the habit of, (reflexive) to get used to||
verb-impliquer|impliquer||||||impliquer|impliqué|impliquant|Verb: to implicate||
verb-intituler|intituler||||||intituler|intitulé|intitulant|Verb: to title||
verb-lâcher|lâcher||||||lâcher|lâché|lâchant|Verb: to release/ let go, to say something||
verb-monopoliser|monopoliser||||||monopoliser|monopolisé|monopolisant|Verb: to monpolise||
verb-permettre|permettre||||||permettre|permis|permettant|Verb: to allow||
verb-planifier|planifier||||||planifier|planifié|planifiant|Verb: to plan||
verb-privilégier|privilégier||||||privilégier|privilégié|privilégiant|Verb: to favour||
verb-rejeter|rejeter||||||rejeter|rejeté|rejetant|Verb: to reject/ throw back||
verb-risquer|risquer||||||risquer|risqué|risquant|Verb: to risk||
verb-rompre|rompre||||||rompre|rompu|rompant|Verb: to break up, (reflexive) to break/ snap||
verb-râler|râler||||||râler|râlé|râlant|Verb: to moan/ complain||
verb-réhabiliter|réhabiliter||||||réhabiliter|réhabilité|réhabilitant|Verb: to rehabilitate||
verb-répandre|répandre||||||répandre|répandu|répandant|Verb: to spill, to spread||
verb-réunir|réunir||||||réunir|réuni|réunissant|Verb: to collect, to bring together, (reflexive) to meet/ come together||
verb-souffrir|souffrir||||||souffrir|souffert|souffrant|Verb: to suffer, endure||
verb-surprendre|surprendre||||||surprendre|surpris|surprenant|Verb: to surprise||
verb-susciter|susciter||||||susciter|suscité|suscitant|Verb: to stir up, evoke||
verb-tenir|tenir||||||tenir|tenu|tenant|Verb: to hold||
verb-valoir|valoir||||||valoir|valu|valant|Verb: to be worth, to earn||
verb-viser|viser||||||viser|visé|visant|Verb: to aim/ target||
verb-élever|élever||||||élever|élevé|élevant|Verb: to bring up, to raise||
verb-émettre|émettre||||||émettre|émis|émettant|Verb: to emit||
